area_sqft,bedrooms,bathrooms,age_years,parking_spaces,price
812,1,3,16,3,4878146
3208,4,3,8,0,18346995
2791,5,2,7,1,16754191
2036,5,3,9,1,13637108
2015,2,1,18,3,10519821
3505,3,3,7,0,20284978
800,3,3,28,1,6627782
2940,2,2,14,0,15975282
1205,2,3,26,3,8477991
829,2,2,21,2,6371779
2342,5,1,10,1,14438552
3914,4,3,7,1,22774975
3075,5,1,23,0,17651857
3163,5,1,10,3,18795176
3011,5,2,7,2,19179270
3251,1,3,28,1,16362594
2296,5,2,14,1,14807224
948,1,2,1,2,6154616
3439,3,1,15,2,17633436
2076,3,1,14,1,11935253
2251,2,1,26,1,11443005
1797,1,1,22,2,8490237
1138,1,3,5,2,7984293
3743,5,3,4,2,23228769
3235,2,3,18,0,17366595
2753,2,1,1,1,15564440
1908,5,1,9,2,13874490
3379,1,1,4,3,16654854
2409,5,2,0,2,17382293
2051,5,2,28,1,13014012
2076,3,2,2,2,13864436
1295,1,1,0,0,7261493
822,1,3,28,0,4692925
2441,2,1,5,2,12530652
3607,3,1,25,3,18645718
723,1,3,0,3,5823808
3504,3,3,4,2,20751650
3396,1,1,3,0,17290396
1468,3,2,21,3,9507545
2710,1,3,19,1,14245985
1078,4,3,14,1,9038304
3153,1,3,7,3,16874258
2951,1,2,2,2,16066747
1740,1,2,17,2,9460731
737,5,3,7,1,9886324
3897,1,1,18,3,18545384
2059,3,1,21,1,11965168
3625,3,2,26,2,19161207
2872,3,3,15,3,17521889
3224,4,1,0,2,18584421
3159,5,2,8,0,18990721
1181,2,2,26,1,7006751
1773,5,2,16,1,12210471
2133,2,3,19,3,13129541
2242,5,1,14,2,14814125
653,3,3,5,1,7435277
2412,4,2,27,2,15172483
1040,5,3,23,2,10554672
3101,4,2,30,1,16917028
2890,5,1,26,1,16741526
3728,3,3,9,3,20964200
3106,1,3,7,2,16738678
1783,3,1,7,0,10373625
3886,1,3,28,2,19997035
1937,5,3,17,2,14348349
1640,2,2,14,2,9870985
3669,2,3,30,2,19507309
1796,2,2,18,3,9646692
767,4,2,28,1,5694449
2143,3,1,30,1,11791419
3284,5,3,2,0,20508234
1163,3,1,11,2,8308723
2120,2,3,22,1,11426802
954,1,2,25,1,5281383
2902,1,2,4,2,16360755
2164,2,1,9,1,12150100
1655,5,3,16,1,12782353
1294,3,1,24,1,7653473
2475,5,2,3,1,16240214
2844,1,3,18,0,13433401
3791,1,3,9,3,20088320
2030,5,3,6,0,15057742
1062,1,3,15,1,6091190
3414,1,2,12,2,16932292
2704,3,1,19,0,13639268
2950,5,3,9,2,18642324
840,4,3,25,2,8056741
1593,1,3,2,2,9126299
3187,5,2,26,1,18798635
3412,5,1,0,0,20330928
2023,5,2,22,3,13827949
3316,5,2,10,1,18631646
3445,2,3,11,3,18604291
1856,5,2,0,0,14168451
3643,2,1,21,0,16154503
1509,5,1,5,3,11716738
1338,3,3,20,3,9381000
2888,4,3,22,3,18048285
2728,4,1,26,3,15188443
989,4,2,21,0,8002477
3414,4,2,9,3,20345730
1199,4,2,22,2,10113613
3317,4,3,25,0,18575029
525,1,1,9,0,3500522
3288,5,1,3,3,19253472
3254,3,1,27,1,17138207
3231,2,1,4,3,16909246
2826,3,3,18,0,15736623
2150,5,3,7,1,15363876
2968,5,1,3,1,17274558
1469,5,2,24,1,10974885
3232,3,1,4,2,18327733
2444,4,1,20,3,14694467
2106,2,1,21,3,10582551
2269,4,1,1,2,14398595
2490,4,2,5,0,15726014
630,2,3,24,3,4846006
989,2,2,15,2,6463117
1359,1,3,3,2,9503772
900,1,2,30,2,5185048
2038,3,1,8,3,12726986
2839,3,1,0,3,17455247
2790,1,1,28,2,13289276
2148,3,1,0,2,13494944
3492,4,3,17,2,21719373
2478,2,3,30,1,13194098
777,2,3,17,1,5897559
3177,2,2,18,2,16910398
2511,3,2,12,0,14518996
2721,2,2,3,1,14881142
2478,4,2,17,2,14684801
2437,2,3,27,3,14921422
816,3,3,2,2,8435422
2457,2,3,27,1,12990357
3282,1,2,12,1,16876965
1563,4,1,16,2,10478927
2609,2,3,5,2,15264059
607,2,2,19,0,4862636
1716,4,3,5,2,12326059
2028,5,2,8,1,14352314
3939,4,3,22,2,23081977
1251,5,2,1,3,11762589
1467,5,3,13,3,12313394
1929,3,3,18,2,12226947
3974,4,1,4,1,21527830
3486,2,2,9,1,18160019
621,3,2,10,0,5705597
1318,3,3,20,3,10339156
3375,5,3,30,3,19370895
704,5,3,25,3,8899000
3494,3,2,5,1,19133157
1484,4,2,0,1,11516474
3711,2,2,1,3,19636006
1527,5,3,18,2,12935816
2020,3,1,4,2,13012817
2816,3,2,7,1,16651795
941,4,1,26,1,6227123
2449,4,3,27,2,15585061
2267,1,2,26,3,11853928
3243,2,2,7,1,16490864
3986,1,2,19,3,19724851
2825,4,2,18,0,16394767
1932,1,3,5,1,11572038
1922,2,2,17,3,11437631
1962,3,2,16,3,12524616
3349,4,1,12,3,19757306
1624,3,1,23,1,10021017
1084,5,2,21,3,8344473
1670,5,3,16,3,13106281
579,1,3,22,3,4773174
871,5,2,23,0,7093451
815,4,2,17,2,7764592
3200,4,2,8,3,19774379
3028,1,1,23,3,14082716
2938,4,1,22,0,16089200
2116,4,2,30,3,12714088
3009,3,1,4,0,16004544
1064,1,1,12,1,6576697
3652,3,1,28,2,18262721
2253,5,1,15,1,14469606
3783,4,2,29,2,19537891
1033,1,3,0,0,8179659
2240,5,3,1,2,16631326
2937,5,2,24,2,17625250
2234,1,2,11,2,12290773
2061,5,1,16,1,12619590
1081,3,1,13,1,8055765
1833,3,2,12,1,11336508
1335,3,2,29,1,8305465
1555,4,1,2,2,10951672
2892,5,2,23,1,17023674
2705,4,1,27,1,15219835
2625,5,1,20,1,15790453
1766,5,3,12,0,13472874
3858,1,2,4,2,19656603
806,2,2,21,3,6383600
1699,4,3,14,1,11986076
913,3,3,4,3,9973366
1686,1,3,11,2,9353035
3866,1,2,29,0,18577469
1781,3,3,8,1,12748454
3680,4,2,5,0,20283921
2232,1,3,21,0,12708637
2948,1,3,6,1,16313745
2100,1,2,28,1,10785570
1430,3,3,26,3,10099011
3174,1,2,30,0,14674387
3892,3,3,28,3,20959296
1422,3,1,7,0,9244265
3225,3,3,6,0,19113093
1413,4,2,10,2,10849157
3009,3,3,14,3,17334778
3261,4,2,27,2,18636714
2072,4,3,22,0,13684575
3079,5,1,19,0,17832830
1452,4,1,27,1,9606749
777,3,2,20,1,6211036
837,3,3,11,3,7702005
2064,2,3,12,1,11903903
3659,3,2,16,0,18447768
946,1,2,2,3,7025474
2095,5,2,22,0,13485776
2964,5,3,20,0,17918006
1208,1,2,22,1,5108191
3025,4,2,16,1,16838841
1570,1,3,24,2,9525420
3330,4,1,29,3,17752687
2527,1,3,17,3,14051796
2414,3,1,13,1,12767657
1118,4,1,3,3,10150353
2121,4,3,24,2,13772486
3498,3,3,28,0,18686020
568,5,3,21,3,9218890
3154,4,3,26,0,18651220
2224,2,2,26,2,11854717
3018,4,2,24,3,17234390
2821,4,1,15,0,15581727
2012,2,1,3,1,11608949
1580,4,1,0,1,11107388
2695,5,1,6,3,16979878
990,5,2,13,0,9738591
2544,4,3,23,2,15740895
831,4,3,14,1,9439295
2774,2,2,0,0,15328371
2700,4,3,6,2,18242659
795,2,3,30,3,6406160
3151,3,3,30,2,17860980
1955,2,2,11,0,10685194
3254,2,1,24,0,15216120
645,1,3,22,1,4882353
1128,5,1,28,2,9270277
2228,1,2,27,2,11196128
1158,1,1,19,0,5017803
1654,5,3,12,2,12462871
2812,3,2,19,1,14840432
1005,3,1,9,2,6688689
2871,4,1,10,3,17024243
861,2,2,18,2,6837022
1113,1,2,17,0,6151792
2556,4,3,18,3,15221793
3277,1,1,11,0,15501120
1097,3,3,12,3,9205101
1549,5,2,0,0,13218499
3737,5,3,18,2,21487931
3963,2,1,17,0,18988161
2533,4,1,28,0,14651426
2064,4,1,15,2,13062989
1714,3,2,14,2,11394657
2643,1,3,2,0,14450792
2568,2,1,6,3,14370972
1531,4,2,10,1,11428305
579,5,1,11,1,6500757
1030,1,3,11,1,7374029
3854,4,3,12,1,21306498
1963,5,3,23,0,13647684
2188,5,3,4,1,15785370
2134,3,2,10,0,12394853
3239,1,3,5,0,16914157
727,2,1,9,1,4960230
789,5,3,21,2,8264649
1465,5,3,1,3,12915693
2203,4,3,10,1,14111506
2848,1,2,0,1,15227399
2217,1,3,29,3,11301457
2044,3,2,22,2,12553989
3782,3,1,7,3,19828260
1063,1,3,6,3,7550353
2501,4,1,3,3,15342198
2397,3,1,14,3,14499073
2157,1,2,23,1,10971645
3326,1,1,18,1,15611133
1434,3,3,27,1,9802360
3838,4,2,10,0,20117404
1660,5,1,8,2,12148433
2407,3,3,14,2,15830257
2322,2,2,6,3,13765173
3474,5,1,30,0,18766957
2036,3,3,5,1,13636064
1495,2,2,14,0,9275303
575,3,1,16,3,4538767
1772,1,3,1,1,9932837
3392,2,2,14,0,17469146
534,3,3,14,2,6045562
3636,5,3,8,3,23168013
2399,4,2,3,3,15637913
990,4,3,1,0,8437735
1557,3,1,0,1,9622493
2439,1,1,14,0,10300662
1604,2,2,2,1,10050937
880,5,3,29,2,8715808
2830,1,2,7,1,14422769
2852,5,2,20,0,17573440
916,4,3,20,2,9221260
1484,2,3,15,0,9242806
1353,4,3,27,0,8671153
2807,5,1,3,0,17390141
3056,1,3,7,0,16279680
3044,1,2,7,1,15752696
3785,4,2,4,3,22473240
3190,5,2,9,3,19272586
1622,1,1,9,0,9253378
877,4,1,23,0,6116786
2651,1,2,9,1,14104111
3706,4,3,27,2,19983326
3913,4,3,23,2,21493368
1305,1,1,27,3,7430684
1327,4,3,3,1,10941050
630,5,1,30,0,6354961
994,5,3,19,0,9441478
2441,1,2,30,0,11432021
2413,2,2,11,0,13790425
1798,2,3,29,3,10672671
1584,3,2,18,1,9187631
3404,1,3,2,3,18166380
2110,5,2,12,2,14870596
3328,4,3,4,2,20473755
3871,5,2,29,1,20635971
1609,1,1,9,3,8578329
1209,1,3,6,0,7449639
3835,5,2,17,0,21424765
2721,2,2,13,1,13956543
1518,4,1,3,1,10416814
2676,5,1,25,2,15527695
2302,1,2,26,2,11944767
3669,1,1,23,2,17665061
1395,1,3,19,1,8104595
3969,1,3,12,1,19914480
3776,1,3,16,3,19611962
1132,5,3,16,0,9685712
1076,4,2,5,2,8918584
2366,5,1,2,2,15176889
657,5,2,7,3,8239093
1545,5,2,14,2,11370763
2022,2,3,4,1,12630030
3892,2,1,3,1,20178858
3973,5,2,26,1,21234951
1030,2,2,11,1,7147564
3620,1,1,18,0,16680032
818,4,1,16,2,7351754
3120,5,2,22,0,18133531
3459,5,1,22,2,18838700
3617,5,1,9,3,20545305
1281,1,2,26,3,7229212
3627,4,1,11,0,20085890
905,5,2,25,3,7665406
2316,4,1,12,0,13794863
2143,5,1,3,1,14938311
1605,5,2,23,0,11195987
577,3,3,0,0,7071601
3202,1,2,23,0,14907465
1674,3,3,1,0,11623317
2815,2,2,6,3,15107043
1935,1,2,18,0,8635328
1807,1,2,29,1,9402883
3602,4,3,12,2,20616503
830,3,3,3,3,8307236
3078,3,3,7,3,17757779
3113,4,3,27,0,16953515
1829,3,2,22,3,11393581
1418,4,2,3,2,10766211
518,1,3,11,0,4569985
