City,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr
 Adoni,346,132,329,197,0.9,30400.87,11598.02,28907.19,17309.17
 Anantapur,345,136,571,435,1.7,30313.01,11949.48,50170.23,38220.75
 Chirala,295,102,555,453,1.8,25919.82,8962.11,48764.41,39802.3
 Chittoor,400,81.5,404,322.5,1.4,35145.52,7160.9,35496.98,28336.08
 Eluru,298,89.2,384,294.8,1.3,26183.41,7837.45,33739.7,25902.25
 Guntur,277,80.8,257,176.2,0.9,24338.27,7099.4,22581,15481.6
 Hindupur,470,131,433,302,1.3,41295.99,11510.16,38045.03,26534.87
 Kadapa,333,144,223,79,0.6,29258.65,12652.39,19593.63,6941.24
 Kakinada,363,84.4,398,313.6,1.4,31894.56,7415.7,34969.79,27554.09
 Kurnool,290,128,633,505,1.8,25480.5,11246.57,55617.79,44371.22
 Machilipatnam,445,90.1,227,136.9,0.7,39099.39,7916.53,19945.08,12028.55
 Madanapalle,356,115,416,301,1.3,31279.51,10104.34,36551.34,26447
 Nandyal,328,132,490,358,1.4,28819.33,11598.02,43053.26,31455.24
 Nellore,251,302,418,116,0.8,22053.81,26534.87,36727.07,10192.2
 Ongole,334,125,494,369,1.5,29346.51,10982.98,43404.72,32421.74
 Proddatur,301,146,485,339,1.3,26447,12828.11,42613.94,29785.83
 Rajahmundry,301,105,390,285,1.3,26447,9225.7,34266.88,25041.18
 Tenali,290,92.7,524,431.3,1.8,25480.5,8144.97,46040.63,37895.66
 Tirupati,301,121,223,102,0.7,26447,10631.52,19593.63,8962.11
 Vijayawada,333,106,550,444,1.6,29258.65,9313.56,48325.09,39011.53
 Visakhapatnam,310,111,222,111,0.6,27237.78,9752.88,19505.76,9752.88
 Vizianagaram,255,78.9,442,363.1,1.7,22405.27,6932.45,38835.8,31903.35
 Dibrugarh,402,138,316,178,0.8,35321.25,12125.2,27764.96,15639.76
 Dispur,338,111,393,282,1.2,29697.96,9752.88,34530.47,24777.59
 Guwahati,348,110,354,244,1,30576.6,9665.02,31103.79,21438.77
 Bhagalpur,257,59.7,311,251.3,1.2,22581,5245.47,27325.64,22080.17
 Gaya,297,99.1,401,301.9,1.4,26095.55,8707.3,35233.38,26526.08
 Muzaffarpur,350,90.7,339,248.3,1.2,30752.33,7969.25,29785.83,21816.58
 Patna,320,103,313,210,1,28116.42,9049.97,27501.37,18451.4
 Purnia,284,85.9,289,203.1,1,24953.32,7547.5,25392.64,17845.14
 Saharsa,350,85.6,306,220.4,1.1,30752.33,7521.14,26886.32,19365.18
 Bhilai,320,85.3,361,275.7,1.2,28116.42,7494.78,31718.83,24224.05
 Bilaspur,301,138,357,219,1,26447,12125.2,31367.38,19242.17
 Durg,361,131,355,224,1,31718.83,11510.16,31191.65,19681.49
 Raipur,445,164,340,176,0.8,39099.39,14409.66,29873.69,15464.03
 Margao,349,187,205,18,0.5,30664.47,16430.53,18012.08,1581.55
 Mormugao,476,233,203,-30,0.4,41823.17,20472.27,17836.35,-2635.91
 Panjim,368,160,203,43,0.5,32333.88,14058.21,17836.35,3778.14
 Ahmedabad,442,159,310,151,0.7,38835.8,13970.34,27237.78,13267.43
 Bhavnagar,382,93.9,274,180.1,0.9,33563.97,8250.41,24074.68,15824.27
 Bhuj,382,81,272,191,0.9,33563.97,7116.97,23898.95,16781.99
 Gandhinagar,382,175,421,246,1,33563.97,15376.16,36990.66,21614.49
 Godhra,366,147,365,218,1,32158.15,12915.98,32070.29,19154.31
 Mehsana,382,155,277,122,0.7,33563.97,13618.89,24338.27,10719.38
 Nadiad,382,148,396,248,1.1,33563.97,13003.84,34794.06,21790.22
 Navsari,278,72.7,280,207.3,1,24426.14,6387.7,24601.86,18214.17
 Porbandar,330,125,271,146,0.8,28995.05,10982.98,23811.09,12828.11
 Rajkot,324,104,216,112,0.7,28467.87,9137.84,18978.58,9840.75
 Surat,322,458,271,-187,0.4,28292.14,40241.62,23811.09,-16430.53
 Vadodara,374,129,349,220,0.9,32861.06,11334.43,30664.47,19330.04
 Shimla,427,75.8,392,316.2,1.5,37517.84,6660.08,34442.61,27782.53
 Bhiwani,330,109,558,449,1.7,28995.05,9577.15,49028,39450.85
 Delhi,489,190,231,41,0.5,42965.4,16694.12,20296.54,3602.42
 Faridabad,383,134,547,413,1.4,33651.84,11773.75,48061.5,36287.75
 Gurgaon,514,215,463,248,0.9,45161.99,18890.72,40680.94,21790.22
 Hisar,262,88.3,554,465.7,2.1,23020.32,7758.37,48676.55,40918.17
 Rohtak,427,65.3,442,376.7,1.8,37517.84,5737.51,38835.8,33098.29
 Sonipat,270,69,507,438,1.9,23723.23,6062.6,44546.95,38484.34
 Chakradharpur,320,108,371,263,1.2,28116.42,9489.29,32597.47,23108.18
 Dhanbad,289,75.9,356,280.1,1.2,25392.64,6668.86,31279.51,24610.65
 Jamshedpur,348,102,199,97,0.6,30576.6,8962.11,17484.9,8522.79
 Ranchi,332,121,401,280,1.1,29170.78,10631.52,35233.38,24601.86
 Baramulla,443,67.5,409,341.5,1.5,38923.66,5930.81,35936.29,30005.49
 Jammu,284,91.9,408,316.1,1.4,24953.32,8074.68,35848.43,27773.75
 Srinagar,340,99.9,211,111.1,0.6,29873.69,8777.59,18539.26,9761.67
 Bangalore,463,221,311,90,0.6,40680.94,19417.9,27325.64,7907.74
 Belgaum,463,250,241,-9,0.5,40680.94,21965.95,21175.18,-790.77
