age,study_hours_per_day,attendance_percent,assignment_score,exam_score,sleep_hours,screen_time_hours,final_result
26,5.87,90.31,76.21,91.77,7.84,4.13,1
33,4.43,96.02,84.09,99.2,6.65,1.57,1
29,5.62,89.25,76.27,85.36,6.7,3.41,1
31,2.96,66.38,46.02,71.46,6.76,9.74,0
29,6.46,82.5,82.43,81.88,6.79,5.11,1
28,7.82,98.34,70.69,80.25,6.81,6.66,1
27,5.53,77.92,75.01,77.0,8.09,4.47,1
28,3.04,72.12,53.79,73.66,6.71,5.7,0
27,2.0,68.94,50.07,75.64,8.31,6.57,0
25,5.37,84.74,89.62,81.74,7.51,4.03,1
22,6.01,95.64,79.43,76.53,7.5,3.89,1
26,2.86,65.69,49.36,54.73,5.82,7.19,0
28,4.76,95.17,71.06,88.97,6.44,5.26,1
24,2.77,69.86,63.39,52.0,7.04,4.89,0
26,5.41,98.94,84.26,77.67,7.87,3.75,1
32,6.11,92.44,73.22,82.18,7.05,4.83,1
23,5.67,93.58,74.53,93.38,7.27,6.24,1
28,5.58,89.34,76.77,83.16,7.77,3.58,1
31,3.07,63.89,53.56,48.27,7.17,8.71,0
23,6.75,85.05,81.15,83.84,6.58,4.61,1
28,2.0,85.52,60.6,65.29,5.86,4.12,0
40,1.78,78.22,54.74,59.39,7.64,5.47,0
24,5.82,86.13,76.9,91.01,6.99,4.69,1
23,4.83,87.85,80.72,65.08,7.69,5.49,1
27,1.44,64.4,61.38,37.88,7.34,7.55,0
27,2.65,69.96,58.77,52.14,6.42,7.48,0
33,6.72,83.76,76.08,83.42,7.55,5.22,1
29,4.02,98.04,85.0,78.74,6.94,4.41,1
32,4.84,88.35,88.69,93.22,7.56,8.27,1
29,4.4,88.95,76.21,90.65,6.87,4.47,1
30,3.83,65.52,65.58,62.98,7.62,6.78,0
26,5.21,93.18,81.42,93.08,7.01,5.17,1
23,2.84,62.58,60.03,50.3,6.69,3.2,0
25,2.69,59.95,74.45,72.53,6.7,8.29,0
28,4.09,91.57,80.03,83.37,6.04,4.27,1
32,2.59,68.54,54.48,54.37,7.81,7.14,0
32,2.83,63.27,47.65,41.31,6.35,7.62,0
28,1.95,60.81,66.36,51.03,6.16,6.81,0
